application-body/@lang	pat:ApplicationBody/@com:languageCode
li/u/i	com:LI/com:U/com:I
li/u/i/text()	com:LI/com:U/com:I/text()
li/u/sup	com:LI/com:U/com:Sup
li/u/sup/text()	com:LI/com:U/com:Sup/text()
li/u/sub	com:LI/com:U/com:Sub
li/u/sub/text()	com:LI/com:U/com:Sub/text()
li/o	com:LI/com:O
li/o/text()	com:LI/com:O/text()
li/o/b	com:LI/com:O/com:B
li/o/b/text()	com:LI/com:O/com:B/text()
li/o/i	com:LI/com:O/com:I
li/o/i/text()	com:LI/com:O/com:I/text()
li/o/sup	com:LI/com:O/com:Sup
li/o/sup/text()	com:LI/com:O/com:Sup/text()
li/o/sub	com:LI/com:O/com:Sub
li/o/sub/text()	com:LI/com:O/com:Sub/text()
li/sup	com:LI/com:Sup
li/sup/text()	com:LI/com:Sup/text()
li/sup/b	com:LI/com:Sup/com:B
li/sup/b/text()	com:LI/com:Sup/com:B/text()
li/sup/u	com:LI/com:Sup/com:U
li/sup/u/text()	com:LI/com:Sup/com:U/text()
li/sup/i	com:LI/com:Sup/com:I
li/sup/i/text()	com:LI/com:Sup/com:I/text()
li/sup/o	com:LI/com:Sup/com:O
li/sup/o/text()	com:LI/com:Sup/com:O/text()
li/sup/sup2	com:LI/com:Sup/com:Sup2
li/sup/sup2/text()	com:LI/com:Sup/com:Sup2/text()
li/sup/sup2/b	com:LI/com:Sup/com:Sup2/com:B
li/sup/sup2/b/text()	com:LI/com:Sup/com:Sup2/com:B/text()
li/sup/sup2/u	com:LI/com:Sup/com:Sup2/com:U
li/sup/sup2/u/text()	com:LI/com:Sup/com:Sup2/com:U/text()
li/sup/sup2/i	com:LI/com:Sup/com:Sup2/com:I
li/sup/sup2/i/text()	com:LI/com:Sup/com:Sup2/com:I/text()
li/sup/sup2/o	com:LI/com:Sup/com:Sup2/com:O
li/sup/sup2/o/text()	com:LI/com:Sup/com:Sup2/com:O/text()
li/sup/sub2	com:LI/com:Sup/com:Sub2
li/sup/sub2/text()	com:LI/com:Sup/com:Sub2/text()
li/sup/sub2/b	com:LI/com:Sup/com:Sub2/com:B
li/sup/sub2/b/text()	com:LI/com:Sup/com:Sub2/com:B/text()
li/sup/sub2/u	com:LI/com:Sup/com:Sub2/com:U
li/sup/sub2/u/text()	com:LI/com:Sup/com:Sub2/com:U/text()
li/sup/sub2/i	com:LI/com:Sup/com:Sub2/com:I
li/sup/sub2/i/text()	com:LI/com:Sup/com:Sub2/com:I/text()
li/sup/sub2/o	com:LI/com:Sup/com:Sub2/com:O
li/sup/sub2/o/text()	com:LI/com:Sup/com:Sub2/com:O/text()
li/sub	com:LI/com:Sub
li/sub/text()	com:LI/com:Sub/text()
li/sub/b	com:LI/com:Sub/com:B
li/sub/b/text()	com:LI/com:Sub/com:B/text()
li/sub/u	com:LI/com:Sub/com:U
li/sub/u/text()	com:LI/com:Sub/com:U/text()
li/sub/i	com:LI/com:Sub/com:I
li/sub/i/text()	com:LI/com:Sub/com:I/text()
li/sub/o	com:LI/com:Sub/com:O
li/sub/o/text()	com:LI/com:Sub/com:O/text()
li/sub/sup2	com:LI/com:Sub/com:Sup2
li/sub/sup2/text()	com:LI/com:Sub/com:Sup2/text()
li/sub/sup2/b	com:LI/com:Sub/com:Sup2/com:B
li/sub/sup2/b/text()	com:LI/com:Sub/com:Sup2/com:B/text()
li/sub/sup2/u	com:LI/com:Sub/com:Sup2/com:U
li/sub/sup2/u/text()	com:LI/com:Sub/com:Sup2/com:U/text()
li/sub/sup2/i	com:LI/com:Sub/com:Sup2/com:I
li/sub/sup2/i/text()	com:LI/com:Sub/com:Sup2/com:I/text()
li/sub/sup2/o	com:LI/com:Sub/com:Sup2/com:O
li/sub/sup2/o/text()	com:LI/com:Sub/com:Sup2/com:O/text()
li/sub/sub2	com:LI/com:Sub/com:Sub2
li/sub/sub2/text()	com:LI/com:Sub/com:Sub2/text()
li/sub/sub2/b	com:LI/com:Sub/com:Sub2/com:B
li/sub/sub2/b/text()	com:LI/com:Sub/com:Sub2/com:B/text()
li/sub/sub2/u	com:LI/com:Sub/com:Sub2/com:U
li/sub/sub2/u/text()	com:LI/com:Sub/com:Sub2/com:U/text()
li/sub/sub2/i	com:LI/com:Sub/com:Sub2/com:I
li/sub/sub2/i/text()	com:LI/com:Sub/com:Sub2/com:I/text()
li/sub/sub2/o	com:LI/com:Sub/com:Sub2/com:O
li/sub/sub2/o/text()	com:LI/com:Sub/com:Sub2/com:O/text()
li/smallcaps	com:LI/com:SmallCapital
li/smallcaps/text()	com:LI/com:SmallCapital/text()
li/smallcaps/b	com:LI/com:SmallCapital/com:B
li/smallcaps/b/text()	com:LI/com:SmallCapital/com:B/text()
li/smallcaps/u	com:LI/com:SmallCapital/com:U
li/smallcaps/u/text()	com:LI/com:SmallCapital/com:U/text()
li/smallcaps/i	com:LI/com:SmallCapital/com:I
li/smallcaps/i/text()	com:LI/com:SmallCapital/com:I/text()
li/smallcaps/o	com:LI/com:SmallCapital/com:O
li/smallcaps/o/text()	com:LI/com:SmallCapital/com:O/text()
li/br	com:LI/com:Br
li/pre	com:LI/com:Pre
li/pre/@id	com:LI/com:Pre
li/pre/@xml:space	com:LI/com:Pre
li/pre/@listing-type	com:LI/com:Pre
li/pre/text()	com:LI/com:Pre
li/patcit	com:LI/com:PatentCitation
li/nplcit	com:LI/com:NPLCitation
li/bio-deposit	com:LI/com:BioDeposit
li/crossref	com:LI/com:CrossReference
li/crossref/@idref	com:LI/com:CrossReference
li/crossref/text()	com:LI/com:CrossReference
li/crossref/b	com:LI/com:CrossReference
li/crossref/b/text()	com:LI/com:CrossReference
li/crossref/i	com:LI/com:CrossReference
li/crossref/i/text()	com:LI/com:CrossReference
li/crossref/u	com:LI/com:CrossReference
li/crossref/u/text()	com:LI/com:CrossReference
li/crossref/o	com:LI/com:CrossReference
li/crossref/o/text()	com:LI/com:CrossReference
li/crossref/sup	com:LI/com:CrossReference
li/crossref/sup/text()	com:LI/com:CrossReference
li/crossref/sub	com:LI/com:CrossReference
